comment,comment_clean,cluster
ladusin bangga liat,ladusin bangga liat,1
nya paman cok,nya paman cok,7
ngawur wkwkw,ngawur wkwkw,1
ferry guru hacker asah karna minat nya beda,ferry guru hacker asah karna minat nya beda,7
ferry hack lumba billing warnet,ferry hack lumba billing warnet,1
reja arap,reja arap,1
ngaco bjorka timothy ronald,ngaco bjorka timothy ronald,4
insyaallah,insyaallah,1
bjorka guru gembul,bjorka guru gembul,4
lawak polisi,lawak polisi,2
wkwwkwk bener thumbnail nya sok iye nangkap bjorka,wkwwkwk bener thumbnail nya sok iye nangkap bjorka,5
tau komedi,tau komedi,1
filling,filling,1
bwawagahaha bang knpa,bwawagahaha bang knpa,1
drpd kau tidk lapor kau sudh ikhlas dng hilang motor,drpd kau tidk lapor kau sudh ikhlas dng hilang motor,1
pas smpe kantor polisi suruh ikhlasin,pas smpe kantor polisi suruh ikhlasin,2
mampus syukurin,mampus syukurin,1
lokasi hilang sepeda motor tanggap adu ongkos jalan lupa biaya operasional,lokasi hilang sepeda motor tanggap adu ongkos jalan lupa biaya operasional,1
mantan narapidana sila masuk,mantan narapidana sila masuk,1
kadang lapor polisi paranormal,kadang lapor polisi paranormal,2
lapor bayar polsek,lapor bayar polsek,1
tetangga gua hilang motor trus nanya gua hilang motor bang lapor polisi bayar trus dalem hati gua jirr orang hilang harta benda nya takut lapor yaa tau lapor bilang gitu instansi percaya,tetangga gua hilang motor trus nanya gua hilang motor bang lapor polisi bayar trus dalem hati gua jirr orang hilang harta benda nya takut lapor yaa tau lapor bilang gitu instansi percaya,1
motor hilang lapor,motor hilang lapor,1
saran normal suruh bacain puter giling,saran normal suruh bacain puter giling,1
orang celaka lapor polisi suruh bayar surat terang polisi lembar bayar juta parah bener polisi,orang celaka lapor polisi suruh bayar surat terang polisi lembar bayar juta parah bener polisi,2
lahh maling motor nya ketangkep warga bawa kantor polisi sampe sana polisi nya,lahh maling motor nya ketangkep warga bawa kantor polisi sampe sana polisi nya,7
hilang motor lapor polisi ongkos nyarinya jual mobil,hilang motor lapor polisi ongkos nyarinya jual mobil,2
kayas lapor polisi hilang motor tmbah hilang duit motor gabalik,kayas lapor polisi hilang motor tmbah hilang duit motor gabalik,2
muhammadfarhanex bap doang abis arsip,muhammadfarhanex bap doang abis arsip,1
tetangga hilang kambing lapor polisi india hilang sapi,tetangga hilang kambing lapor polisi india hilang sapi,2
hadeh polisi masalah polisi bantu curanmor lapor tau ketemu motor bang,hadeh polisi masalah polisi bantu curanmor lapor tau ketemu motor bang,2
habis bnyak harga motor bang,habis bnyak harga motor bang,1
keren polisi sibuk ngurus bjorka,keren polisi sibuk ngurus bjorka,2
bjorka asli abang podcast,bjorka asli abang podcast,4
miraclerna,miraclerna,1
ngakak video hoki mah,ngakak video hoki mah,1
next part collab,next part collab,1
mas teguh top,mas teguh top,1
ngira bjorka individu gua bjorka individu kelompok ato semacem komunitas gitu,ngira bjorka individu gua bjorka individu kelompok ato semacem komunitas gitu,4
ketawa,ketawa,5
fakta anak indonesia cerdas indonesia susah cari kerja,fakta anak indonesia cerdas indonesia susah cari kerja,0
gin ded mesti ajak ngobrol jim geovedi,gin ded mesti ajak ngobrol jim geovedi,1
teman mantan hacking ketawa liat bjorka ketangkep mudah ferguso,teman mantan hacking ketawa liat bjorka ketangkep mudah ferguso,5
orang milih sadar ajar timpa orang,orang milih sadar ajar timpa orang,1
ngomongin server ded kerja kontrak salah bank bumn akses data nasabah bank tsb mudah download bentuk batch mudah teman bis ange cek rekening rafi ahmad jaga data digital sampah,ngomongin server ded kerja kontrak salah bank bumn akses data nasabah bank tsb mudah download bentuk batch mudah teman bis ange cek rekening rafi ahmad jaga data digital sampah,1
tangkep koruptor termul harun mas yakut rakyat indonesia salut jempol,tangkep koruptor termul harun mas yakut rakyat indonesia salut jempol,1
bjorka polisi tangkap,bjorka polisi tangkap,3
nya polisi indonesia reformasi akar akar nya,nya polisi indonesia reformasi akar akar nya,7
bjorka nonton podcast,bjorka nonton podcast,4
tau salah tangkep biarin gitu polisi negara kocaakk,tau salah tangkep biarin gitu polisi negara kocaakk,2
gua keinget smart contract,gua keinget smart contract,1
mamtab orang gin masuk dunia perintah,mamtab orang gin masuk dunia perintah,1
bjorka bjirlah,bjorka bjirlah,4
alih isu lindas ojol,alih isu lindas ojol,1
bilang statement kualitas tim cyber polisi dlupun komunitas sbh tangkap bawah lapor fbi polisi indonesia lokasi kini surabaya,bilang statement kualitas tim cyber polisi dlupun komunitas sbh tangkap bawah lapor fbi polisi indonesia lokasi kini surabaya,2
ngpain booss,ngpain booss,1
blur sorot orang tau teguh,blur sorot orang tau teguh,1
merintislagi,merintislagi,1
sefong,sefong,1
individu bang,individu bang,1
anon turut kelompok sisi nuduh individu,anon turut kelompok sisi nuduh individu,1
klw kelompok sudh tangkap,klw kelompok sudh tangkap,3
fakta cerdas,fakta cerdas,0
cerdas kerja,cerdas kerja,1
jim ngomongin ginian kelas bahas server maenannya satelite security,jim ngomongin ginian kelas bahas server maenannya satelite security,1
halah ngaku hacker,halah ngaku hacker,1
tau gua hacker ngaku hacker gua mantan direktur cia wawancara bilang hacker sembunyi identitas mati kerjasama intelijen mossad cia,tau gua hacker ngaku hacker gua mantan direktur cia wawancara bilang hacker sembunyi identitas mati kerjasama intelijen mossad cia,1
bener data kerja badan intelejen nasional alamat kelurga dllnya,bener data kerja badan intelejen nasional alamat kelurga dllnya,1
cek nomer rekening saldo cek mutasi,cek nomer rekening saldo cek mutasi,1
sore ditelfon cwek tipu tau anjirr atm,sore ditelfon cwek tipu tau anjirr atm,1
santuy bro,santuy bro,1
ngebakso,ngebakso,1
ajar tembak polisi trus fitnah tawur,ajar tembak polisi trus fitnah tawur,2
lindes orang mas percaya,lindes orang mas percaya,1
polisi salah tangkap lapor,polisi salah tangkap lapor,3
ank ank cerdas direspon positif perintah lapang kerja,ank ank cerdas direspon positif perintah lapang kerja,1
polisi salah tangkap guys,polisi salah tangkap guys,3
salah nangkep bjorka nangkep bjirka,salah nangkep bjorka nangkep bjirka,4
podcast dejavu obrol,podcast dejavu obrol,1
ded undang mega bintang tri uang dongg,ded undang mega bintang tri uang dongg,1
polri rekrut calon polri ketat jujur duit duit duit,polri rekrut calon polri ketat jujur duit duit duit,1
undang jim geovedi sudut pandang aman cyber indonesia ded,undang jim geovedi sudut pandang aman cyber indonesia ded,1
undang purbaya,undang purbaya,1
anak racun makan anggap sepele anggap persen nyawa loh data anggap sepele perintah,anak racun makan anggap sepele anggap persen nyawa loh data anggap sepele perintah,1
bjorka main utama nya annonimous percaya percaya cyber sebenernya jaga indonesia dunia cyber jebol parah data orang indonesia perintah sipil,bjorka main utama nya annonimous percaya percaya cyber sebenernya jaga indonesia dunia cyber jebol parah data orang indonesia perintah sipil,7
pol poll,pol poll,1
narasumber valid bjirka personturqouisewaving,narasumber valid bjirka personturqouisewaving,1
ded undang saron,ded undang saron,1
bjorka kena prank terus hibur masyarakat,bjorka kena prank terus hibur masyarakat,4
ditangkep tukang krim,ditangkep tukang krim,1
nangkap bjorka simpel nangkap fufufafa kaskus nangkap hacker,nangkap bjorka simpel nangkap fufufafa kaskus nangkap hacker,5
kisi bjorka independen bjorka kelompok negara tangkap bjorka pecah kode instansi polisi,kisi bjorka independen bjorka kelompok negara tangkap bjorka pecah kode instansi polisi,4
anak pintar pelihara negara pelihara koruptor,anak pintar pelihara negara pelihara koruptor,1
konten scatter tetep juara,konten scatter tetep juara,1
ytta,ytta,1
atur perintah ngasih kompensasi uang kak indonesia,atur perintah ngasih kompensasi uang kak indonesia,1
lapor sidang bukti salah tangkap polisi pulihin nama media ganti rugi materil sesuai tuntut korban korban beraniga ngerti sewa lowyer makan sidang,lapor sidang bukti salah tangkap polisi pulihin nama media ganti rugi materil sesuai tuntut korban korban beraniga ngerti sewa lowyer makan sidang,3
ruwed bongkar bobrok nya tau sumber dana pinjol,ruwed bongkar bobrok nya tau sumber dana pinjol,7
kriminal byorka asli,kriminal byorka asli,1
bisak kak keren koloni bela tutup,bisak kak keren koloni bela tutup,1
durray surat maryam alloh tiup rahim maryam hamil lahir isa bapak isa maryam hamil putar putar kabah nya,durray surat maryam alloh tiup rahim maryam hamil lahir isa bapak isa maryam hamil putar putar kabah nya,7
bahas sengaja nangkap orang bjorka keren ttep tangkap mgkin sangka bjorka keren,bahas sengaja nangkap orang bjorka keren ttep tangkap mgkin sangka bjorka keren,4
pritt,pritt,1
konoha negara,konoha negara,1
berita pertamina tutup,berita pertamina tutup,1
durray kau tuhan tuhan doa tuhan tuhan tuhan lahir sang cipta sangpencipta cipta cipta lahir tuhan karna meng adakan cipta cipta tuhan bantu manusia bantu manusia kabul doa manusia doa tuhan bantu manusia,durray kau tuhan tuhan doa tuhan tuhan tuhan lahir sang cipta sangpencipta cipta cipta lahir tuhan karna meng adakan cipta cipta tuhan bantu manusia bantu manusia kabul doa manusia doa tuhan bantu manusia,1
lapor rtrw hapus warrga,lapor rtrw hapus warrga,1
durray muhammad sunat sunat muhammad umur silah dicopy paste bagi,durray muhammad sunat sunat muhammad umur silah dicopy paste,1
nurut kek ama ysus yohanes yesus definisi hidup kekal hidup kekal engkau satusatunya bapa yesus kristus engkau utus tuhan cod tuhan batas tuhan,nurut kek ama ysus yohanes yesus definisi hidup kekal hidup kekal engkau satusatunya bapa yesus kristus engkau utus tuhan cod tuhan batas tuhan,1
tangkep akun fake bjorka,tangkep akun fake bjorka,4
nyimak kerja perintah,nyimak kerja perintah,1
yaa prnh undang nya,yaa prnh undang nya,7
karna parah bahas bjorka,karna parah bahas bjorka,4
guigore karna undang isi obrol ulang,guigore karna undang isi obrol ulang,1
ferapujia ulang tegas goreng bjirka kasihan cuy,ferapujia ulang tegas goreng bjirka kasihan cuy,1
laah,laah,1
salahin presiden salahin bisik nya sayang presiden main sosmed langsung dedi mulyadi tau sebenernya bisik afiliasi periode,salahin presiden salahin bisik nya sayang presiden main sosmed langsung dedi mulyadi tau sebenernya bisik afiliasi periode,7
covid bisnis,covid bisnis,1
harap,harap,1
bjirka yaa,bjirka yaa,1
kenalin byurka,kenalin byurka,1
asli ngakak,asli ngakak,1
bijipelerka,bijipelerka,1
bjirlah,bjirlah,1
bjorlah,bjorlah,1
kejeburkya,kejeburkya,1
kagak orang,kagak orang,1
mang eak,mang eak,1
fakta nya,fakta nya,0
alih isu pertamin,alih isu pertamin,1
bandung jual bakso cuanky tegal jual telor asin jateng tukang sate kambing,bandung jual bakso cuanky tegal jual telor asin jateng tukang sate kambing,1
betull,betull,1
siplester ketangkep,siplester ketangkep,1
fakta,fakta,0
tangkap polisi orang duit orang jenius kaya bjorka tangkap polisi orang stnk mati kwkwk,tangkap polisi orang duit orang jenius kaya bjorka tangkap polisi orang stnk mati kwkwk,3
setdah bener bang,setdah bener bang,1
plot twist nya ujung nya bjorka kerja perintah bikin gaduh tutup bersihin puji validasi masyarakat perintah hebat,plot twist nya ujung nya bjorka kerja perintah bikin gaduh tutup bersihin puji validasi masyarakat perintah hebat,7
deddy masuk kantor cyber pake video ala matrix,deddy masuk kantor cyber pake video ala matrix,1
smoga cepat sadar orang korup data,smoga cepat sadar orang korup data,1
lucu nangkep bjorka,lucu nangkep bjorka,4
suara tau mas ndrong,suara tau mas ndrong,1
sengaja salah tangkapin berita nya rame tutupin,sengaja salah tangkapin berita nya rame tutupin,7
thn udang denger chiter gamer langsung dapet data anak bus bagus hecker jebolin data ngapain cari cyber police ajar masalag programer ditil tampung anak negara untung kerja anak bangsa lapang kerja model gerus mati lapang kerja muncul karya generasi muda,thn udang denger chiter gamer langsung dapet data anak bus bagus hecker jebolin data ngapain cari cyber police ajar masalag programer ditil tampung anak negara untung kerja anak bangsa lapang kerja model gerus mati lapang kerja muncul karya generasi muda,1
windows masuk computer shutdown notifikasi laptop biji gatau make gatau ywdh,windows masuk computer shutdown notifikasi laptop biji gatau make gatau ywdh,1
lulus masuk institusi bayar ratus juta nangkap hacker,lulus masuk institusi bayar ratus juta nangkap hacker,5
kesan nya rakyat ngasih duit,kesan nya rakyat ngasih duit,7
mamang gondrong gondrong,mamang gondrong gondrong,1
hacker hebat indonesia anggurin perintah perintah biayain hacker pinter mending dana beliin tas branded istri beliin mobil pajero anak indonesia bos harap tikus das perintah,hacker hebat indonesia anggurin perintah perintah biayain hacker pinter mending dana beliin tas branded istri beliin mobil pajero anak indonesia bos harap tikus das perintah,1
tau prestasi santai pedes,tau prestasi santai pedes,1
bikin malu instansi ken ngomong kasar,bikin malu instansi ken ngomong kasar,1
inti cari orang gamau urgensi bjorka klien keren sadar cyber security,inti cari orang gamau urgensi bjorka klien keren sadar cyber security,1
orang indonesia pinter lirik dapet duduk ordal bawa kepinteran jalan salah,orang indonesia pinter lirik dapet duduk ordal bawa kepinteran jalan salah,1
mesti bawa orang tau nangkep bjorka undang ngomong,mesti bawa orang tau nangkep bjorka undang ngomong,4
suka ngobrolnya hacker pernh ulang,suka ngobrolnya hacker pernh ulang,1
bjorka asli ketawa baca berita,bjorka asli ketawa baca berita,5
offense kayakny perintah orang duduk kompeten,offense kayakny perintah orang duduk kompeten,1
cuman visual comand doang,cuman visual comand doang,1
buka miscrosoft exel,buka miscrosoft exel,1
mas teguh aprianto mngkin,mas teguh aprianto mngkin,1
iyaa,iyaa,1
muka nya kaya nya,muka nya kaya nya,7
iyaa teguh undang,iyaa teguh undang,1
plotwis nya bjorka nya,plotwis nya bjorka nya,7
rqa plot wist close the dor bjorka,rqa plot wist close the dor bjorka,4
rqa mikir gitu kau,rqa mikir gitu kau,1
gua kesini bro,gua kesini bro,1
contoh,contoh,1
adimahendraa yaa tau bro duga duga kaga kaget gin,adimahendraa yaa tau bro duga duga kaga kaget gin,1
wongranggadek berita besar tutup brok,wongranggadek berita besar tutup brok,1
adimahendraa pertamina trus tambang raja ampat,adimahendraa pertamina trus tambang raja ampat,1
brianramahesa abang cerdas,brianramahesa abang cerdas,1
mnrt suruh lelucon guyon indonesia hilang focus orang,mnrt suruh lelucon guyon indonesia hilang focus orang,1
manuk akal,manuk akal,1
menang kwkwkw,menang kwkwkw,1
papabrot orang bambang,papabrot orang bambang,1
prestasi butuh kelas bangg abis komunitas diperiksain,prestasi butuh kelas bangg abis komunitas diperiksain,1
kerja polisi duduk ngerokok ngopi suruh nangkep hacker,kerja polisi duduk ngerokok ngopi suruh nangkep hacker,2
lho byorka demen sound horeg jedah jedug data wkwkkw,lho byorka demen sound horeg jedah jedug data wkwkkw,1
masukin perintah mesin automation cari celah pintu masuk aplikasi tren automation,masukin perintah mesin automation cari celah pintu masuk aplikasi tren automation,1
bjorka alih isu,bjorka alih isu,4
fufufafa ketangkep gitu nangkep bjorka,fufufafa ketangkep gitu nangkep bjorka,4
bjorka angkat menkominfo hebat,bjorka angkat menkominfo hebat,4
takut rakyat indonesia lawan pejabat korup institusi rahasia presiden tau basmi koruptor langsung karungin sprti jaman soeharto,takut rakyat indonesia lawan jabat korup institusi rahasia presiden tau basmi koruptor langsung karungin sprti jaman soeharto,1
pake shopee,pake shopee,1
bjorka ketangkep bjirka,bjorka ketangkep bjirka,4
bjorka wahh ketangkep gumam guling tonton berita,bjorka wahh ketangkep gumam guling tonton berita,4
kerenn ngmong narasumber nyaa bikin betah dengerinn hebatt mas,kerenn ngmong narasumber nyaa bikin betah dengerinn hebatt mas,1
sumut orang ditangkep sabunya dikantongin oknum pinter rekayasa nya real jahat,sumut orang ditangkep sabunya dikantongin oknum pinter rekayasa nya real jahat,7
suara misterius haa,suara misterius haa,1
tarik cybersecurity ctf komunitas nama nusahack komunitas,tarik cybersecurity ctf komunitas nama nusahack komunitas,1
masyarakat suruh percaya polisi pake acara nangkep hacker nangkep bandar judol becus,masyarakat suruh percaya polisi pake acara nangkep hacker nangkep bandar judol becus,6
sepakat narsum bjorka orang organisasi hacker orang curiga bjorka klaim curiga bjorka,sepakat narsum bjorka orang organisasi hacker orang curiga bjorka klaim curiga bjorka,4
tarik berkalikali kecewa,tarik berkalikali kecewa,1
wih discord servernya bang,wih discord servernya bang,1
join,join,1
poin,poin,1
percaya tangkap betul bjorka karna gin hacker ngk sebdoh terang terang nama nya organisasi bjorka hacker cari nama bjorka bjorka nama orang orang nama bjorka tangkap tangkap bjorka nha hacker nya karna hacker nya menajdi bjorka nama hacker tangkap bjorka nya hacker,percaya tangkap betul bjorka karna gin hacker ngk sebdoh terang terang nama nya organisasi bjorka hacker cari nama bjorka bjorka nama orang orang nama bjorka tangkap tangkap bjorka nha hacker nya karna hacker nya menajdi bjorka nama hacker tangkap bjorka nya hacker,4
acellegend ngomong,acellegend ngomong,1
acellegend,acellegend,1
teknokaryaestima kirain gua doang bingung nyesel baca jir,teknokaryaestima kirain gua doang bingung nyesel baca jir,1
wkwkkw latih otodidak,wkwkkw latih otodidak,1
info loker min,info loker min,1
bintangmuhamad serius ama komen judol,bintangmuhamad serius ama komen judol,6
itumah bug hunter ajc,itumah bug hunter ajc,1
nanya bajak kamera orang sentuh target kirim link target,nanya bajak kamera orang sentuh target kirim link target,1
inyiakputiahl cari tau,inyiakputiahl cari tau,1
inyiakputiahl susah tau nya imei hpnya,inyiakputiahl susah tau nya imei hpnya,7
cari bug system,cari bug system,1
karowonglanang latih hacker bayar gratis sebut nama komunitas nya daftar komunitas,karowonglanang latih hacker bayar gratis sebut nama komunitas nya daftar komunitas,7
info latih nya kak link,info latih nya kak link,7
otodidak mah latih anak bantu perintah bayar kerja bakti doang,otodidak mah latih anak bantu perintah bayar kerja bakti doang,1
coding bang hacker latih,coding bang hacker latih,1
orang awam ikut ajar,orang awam ikut ajar,1
garis bawah prestasi,garis bawah prestasi,1
pelatihab hacker wkwkwkw latih cyber security,pelatihab hacker wkwkwkw latih cyber security,1
bener bang jogja anak pinter hacking temen gua rela kuliah sana,bener bang jogja anak pinter hacking temen gua rela kuliah sana,1
hoax,hoax,1
gas lapakwd,gas lapakwd,1
kentmurphii kuliah bang,kentmurphii kuliah bang,1
publikasi luas gampang,publikasi luas gampang,1
bejouhuy lawak kaya liat ikut ctf latih russia latih hacker dunia indonesia perwakilanya orang ikut latih cybersecurity sana lawak ngatain lawak kocak,bejouhuy lawak kaya liat ikut ctf latih russia latih hacker dunia indonesia perwakilanya orang ikut latih cybersecurity sana lawak ngatain lawak kocak,1
anak special cerdas,anak special cerdas,1
bot judol njir,bot judol njir,6
spil bang,spil bang,1
mfshort latih gratis,mfshort latih gratis,1
inyiakputiahl bang,inyiakputiahl bang,1
inyiakputiahl nyuruh tuyul,inyiakputiahl nyuruh tuyul,1
bug bounty proses ajar bug bounty jga,bug bounty proses ajar bug bounty jga,1
kocak polklu gitu pol stan komedi,kocak polklu gitu pol stan komedi,1
bpa coklat pintar bikin malu,bpa coklat pintar bikin malu,1
bjorka ngeliatin masyarakat isi otak istansi,bjorka ngeliatin masyarakat isi otak istansi,4
ngefans bjorka otw ganti nama sosmed pake nama tkut tangkap,ngefans bjorka otw ganti nama sosmed pake nama tkut tangkap,3
singkat padat yahh karna engga prestasi cuaakkss,singkat padat yahh karna engga prestasi cuaakkss,1
simpul indonesia anak anak muda milik talenta namum,simpul indonesia anak anak muda milik talenta namum,1
berita bjorka tangkap ngakak abis perut sakit cuk bjorkanya mabuk lem,berita bjorka tangkap ngakak abis perut sakit cuk bjorkanya mabuk lem,3
bangga polri kondisi percaya masyarakat moga polri real nangkap hacker sungguh,bangga polri kondisi percaya masyarakat moga polri real nangkap hacker sungguh,5
konoha mah generasi muda mkin maju pnya mampu khusus negara biarin jabat korup piara realitanya,konoha mah generasi muda mkin maju pnya mampu khusus negara biarin jabat korup piara realitanya,1
bjorka kocak gimang,bjorka kocak gimang,4
inti bantu aparat karna balik ujung tau anjink nama hancur,inti bantu aparat karna balik ujung tau anjink nama hancur,1
bnyk salah tangkap hukum kacau polisi salah nangkap mulu,bnyk salah tangkap hukum kacau polisi salah nangkap mulu,3
stiap aspek perintah mikin orang pinter jago famili keren validasi mumpunin,stiap aspek perintah mikin orang pinter jago famili keren validasi mumpunin,1
bener kaya cit garena gringo orang brazil butuh sus,bener kaya cit garena gringo orang brazil butuh sus,1
serius komunitas hacker orang nya asik asik join salah grup blackhat isi bener bener orang pelit ilmu ilmu diajarin catat bijak negara aktivitas nya pantau anak komunitas,serius komunitas hacker orang nya asik asik join salah grup blackhat isi bener bener orang pelit ilmu ilmu diajarin catat bijak negara aktivitas nya pantau anak komunitas,7
policinya sibuk olahraga lari pagi sempet ajar,policinya sibuk olahraga lari pagi sempet ajar,1
saran bang deddy undang onno purbo beliau sedia kelas gratis,saran bang deddy undang onno purbo beliau sedia kelas gratis,1
bjorka jujur ragu narasi indonesia emas,bjorka jujur ragu narasi indonesia emas,4
polisi temen kena salah tangkep narkoboy nya trus colokin alat hapus gilaa,polisi temen kena salah tangkep narkoboy nya trus colokin alat hapus gilaa,7
hacker kelompok baur,hacker kelompok baur,1
biyorka bjorka ngetawain laku polisi makan goreng cabe rawit nya,biyorka bjorka ngetawain laku polisi makan goreng cabe rawit nya,7
mas postingannya isi daging,mas postingannya isi daging,1
ketawain ethikhal nya wakil bajir,ketawain ethikhal nya wakil bajir,7
tuju bjorka pemuda lokal samasama kesal laku perintah kek wakil wkwkw,tuju bjorka pemuda lokal samasama kesal laku perintah kek wakil wkwkw,4
suara bjorka masuk ded,suara bjorka masuk ded,4
perintah hasil tangkap bjorka bjorka yappingnya,perintah hasil tangkap bjorka bjorka yappingnya,4
akwowkw anak punk tuduh,akwowkw anak punk tuduh,1
byorka ngmong sesimple mulu pdhl byangin susah bnget,byorka ngmong sesimple mulu pdhl byangin susah bnget,1
tarung sipat sipat jahat indonesia mayoritas muslim besar dunia kwalitas iman muslim indonesia takut slalu terombang ambing,tarung sipat sipat jahat indonesia mayoritas muslim besar dunia kwalitas iman muslim indonesia takut slalu terombang ambing,1
bjorka senyum makan kacang,bjorka senyum makan kacang,4
tangkap polisi bejorka berjirrka,tangkap polisi bejorka berjirrka,3
nyari maling motor maling susah dapet nya situ plat nomer nya wajah laku nangkep hacker mudah bener wkwkw,nyari maling motor maling susah dapet nya situ plat nomer nya wajah laku nangkep hacker mudah bener wkwkw,7
ken ketawa instansi nujukin kaya gitu,ken ketawa instansi nujukin kaya gitu,5
nakal ditakuttakutin orang dewasa awas polis awas polis polis takut anak,nakal ditakuttakutin orang dewasa awas polis awas polis polis takut anak,1
hahhaa polisi konoha kena prank nerasa bangga nangkep bikin malu,hahhaa polisi konoha kena prank nerasa bangga nangkep bikin malu,2
bjorka podcasts ngemil kacang sukro nyambi nyeblak,bjorka podcasts ngemil kacang sukro nyambi nyeblak,4
surah albaqarah ayat,surah albaqarah ayat,1
skill isue pake alih isue orang nya tangkap pas serang beneran bjoker awokawok langsung miris,skill isue pake alih isue orang nya tangkap pas serang beneran bjoker awokawok langsung miris,7
kalimat video tulus penuh makna suka bikin tonton nyaman hakim sukses channel,kalimat video tulus penuh makna suka bikin tonton nyaman hakim sukses channel,1
aneh poliz negara koruptor main judol bikin bangkrut bandar judol tangkap poliz bikin lapor tau bandar judol rugi logika,aneh poliz negara koruptor main judol bikin bangkrut bandar judol tangkap poliz bikin lapor tau bandar judol rugi logika,6
salah polisi salah masuk polisi main curang,salah polisi salah masuk polisi main curang,2
polisi statement tangkap bjorka hukum pecat keren bohong thdp publik ulang jabat humas polri baca hasil lapor pangkat gaji resiko tentara medan perang gaji tendah resiko taruh nyawa padan jabat gaji resiko,polisi statement tangkap bjorka hukum pecat keren bohong thdp publik ulang jabat humas polri baca hasil lapor pangkat gaji resiko tentara medan perang gaji tendah resiko taruh nyawa padan jabat gaji resiko,1
sandiwara bjorka muncul pas kominfo aju anggar dprstelah anggar cair bjorka ilangpaham,sandiwara bjorka muncul pas kominfo aju anggar dprstelah anggar cair bjorka ilangpaham,4
temen autis jenius jago coding undang acara teknologi,temen autis jenius jago coding undang acara teknologi,1
alih isu hukum mati koruptor sita aset korupsi laptop nadim mbg minyak,alih isu hukum mati koruptor sita aset korupsi laptop nadim mbg minyak,1
sixtyshop software nya orang kalimantan bikin software muda bikin perusahaan lirik jual software,sixtyshop software nya orang kalimantan bikin software muda bikin usaha lirik jual software,1
obrol teguh chuaakkssnya wkwkw,obrol teguh chuaakkssnya wkwkw,1
polisi cari kepala bahaya cari kambing hitam nutupin tau kerja gaya nya nampang pake kacamata selfi jalan ngatur lintas,polisi cari kepala bahaya cari kambing hitam nutupin tau kerja gaya nya nampang pake kacamata selfi jalan ngatur lintas,7
partai pilih tum nya pakai evoting tiba kejam kalah tiba lonjak suara,partai pilih tum nya pakai evoting tiba kejam kalah tiba lonjak suara,7
ajar hacking game iseng penasaran sistem jalan pure otodidak digging internet modal vpn,ajar hacking game iseng penasaran sistem jalan pure otodidak digging internet modal vpn,1
parcok gerombol cari celah naek jabat prduli anak punk kamuflase hacker bjorka episode gorong jijik muak,parcok gerombol cari celah naek jabat prduli anak punk kamuflase hacker bjorka episode gorong jijik muak,4
bocor data pakai survey vote pilih bikin akun bot data guna,bocor data pakai survey vote pilih bikin akun bot data,1
pajak kendara mewah tagih rumah rumah sederhana nama dipake kendara mewah,pajak kendara mewah tagih rumah rumah sederhana nama dipake kendara mewah,1
perintah indo kolot bego hebat,perintah indo kolot bego hebat,1
sragam coklat lawak cari mukabangun woy jangn enak polisi tidur mulu,sragam coklat lawak cari mukabangun woy jangn enak polisi tidur mulu,2
texk,texk,1
tuju kelas bayar materi kosong harga sampe puluh juta materi bobot kelas gratis,tuju kelas bayar materi kosong harga sampe puluh juta materi bobot kelas gratis,1
anak indonesia hasil menang lomba bobol security nasa lomba resmi nasa dapet spotlight halayak ramai,anak indonesia hasil menang lomba bobol security nasa lomba resmi nasa dapet spotlight halayak ramai,1
gimic beneran hapal lagu gemess,gimic beneran hapal lagu gemess,1
bjorka pecah skandal judol,bjorka pecah skandal judol,6
harga perintah obok obok bjorka,harga perintah obok obok bjorka,4
ngobrol shootnya dua nya nikmat,ngobrol shootnya nya nikmat,7
bjorka ketawa liat berita ketangkep,bjorka ketawa liat berita ketangkep,5
mentok mentok polisi pake dukun,mentok mentok polisi pake dukun,1
biasa rekayasa numbalin orang,biasa rekayasa numbalin orang,1
pov bjorka nyeduh kopi dlu,pov bjorka nyeduh kopi dlu,4
isi podcastnya kaget smw isasia ngikutin,isi podcastnya kaget smw isasia ngikutin,1
laku polisi salah nangkep,laku polisi salah nangkep,2
bjorka kren film film seru,bjorka kren film film seru,4
bantu gong sihh,bantu gong sihh,1
bjorka ketangkep harun mas pupukpapah,bjorka ketangkep harun mas pupukpapah,4
bjorka asli lingkar,bjorka asli lingkar,4
sim umur hidup keren polisi,sim umur hidup keren polisi,2
bang bjorkaa bocor data curi uang rakyat donk insaf,bang bjorkaa bocor data curi uang rakyat donk insaf,1
bayangin bjorka geli malu liat isilop swodoh lawan minimal imbang,bayangin bjorka geli malu liat isilop swodoh lawan minimal imbang,4
inget film the accountant adminnya accountant,inget film the accountant adminnya accountant,1
bjorka tangkap keren takut koruptor,bjorka tangkap keren takut koruptor,3
bjorka nonton tertawa,bjorka nonton tertawa,4
intel sungguh deddy,intel sungguh deddy,1
bjorka alih isu,bjorka alih isu,4
ketawa berita polisi nangkap bjorka orang kelas fufufafa nangkap,ketawa berita polisi nangkap bjorka orang kelas fufufafa nangkap,5
bener polisi kocak jeblak kereen,bener polisi kocak jeblak kereen,2
judol urusin kelar alibi nya,judol urusin kelar alibi nya,6
ngapain nyari bjorka judol urusin poll,ngapain nyari bjorka judol urusin poll,6
susah nangkap bandar narkoba bandar judol,susah nangkap bandar narkoba bandar judol,6
perintah dukung irang data indonesia,perintah dukung irang data indonesia,1
nangkep curanmor syulit hacker kelas bjorka,nangkep curanmor syulit hacker kelas bjorka,4
